unit_number,RUL
1,18
2,79
3,106
4,110
5,15
6,155
7,6
8,90
9,11
10,79
11,6
12,73
13,30
14,11
15,37
16,67
17,68
18,99
19,22
20,54
21,97
22,10
23,142
24,77
25,88
26,163
27,126
28,138
29,83
30,78
31,75
32,11
33,53
34,173
35,63
36,100
37,151
38,55
39,48
40,37
41,44
42,27
43,18
44,6
45,15
46,112
47,131
48,13
49,122
50,13
51,98
52,53
53,52
54,106
55,103
56,152
57,123
58,26
59,178
60,73
61,169
62,39
63,39
64,14
65,11
66,121
67,86
68,56
69,115
70,17
71,148
72,104
73,78
74,86
75,98
76,36
77,94
78,52
79,91
80,15
81,141
82,74
83,146
84,17
85,47
86,194
87,21
88,79
89,97
90,8
91,9
92,73
93,183
94,97
95,73
96,49
97,31
98,97
99,9
100,14
101,106
102,8
103,8
104,106
105,116
106,120
107,61
108,168
109,35
110,80
111,9
112,50
113,151
114,78
115,91
116,7
117,181
118,150
119,106
120,15
121,67
122,145
123,180
124,7
125,179
126,124
127,82
128,108
129,79
130,121
131,120
132,39
133,38
134,9
135,167
136,87
137,88
138,7
139,51
140,55
141,155
142,47
143,81
144,43
145,98
146,10
147,92
148,11
149,165
150,34
151,115
152,59
153,99
154,103
155,108
156,83
157,171
158,15
159,9
160,42
161,13
162,41
163,88
164,14
165,155
166,188
167,96
168,82
169,135
170,182
171,36
172,107
173,14
174,95
175,142
176,23
177,6
178,144
179,35
180,97
181,68
182,14
183,67
184,191
185,19
186,10
187,158
188,183
189,43
190,12
191,148
192,13
193,37
194,122
195,80
196,93
197,132
198,32
199,103
200,174
201,111
202,68
203,192
204,121
205,134
206,48
207,85
208,8
209,23
210,8
211,6
212,57
213,83
214,172
215,101
216,81
217,86
218,165
219,73
220,121
221,139
222,75
223,151
224,145
225,11
226,108
227,14
228,126
229,61
230,85
231,8
232,101
233,153
234,89
235,190
236,12
237,62
238,134
239,101
240,121
241,167
242,17
243,161
244,181
245,16
246,152
247,148
248,56
249,111
250,23
251,84
252,12
253,43
254,48
255,122
256,191
257,56
258,131
259,51
